label;iso;born;dead;alive in;year
Proto-Indo-European;ine-pro;;;-3500;-3500
Proto-Indo-Iranian;iir-pro;;;-3000;-3000
Proto-Iranian;ira-pro;;;-2000;-2000
Sanskrit;sa;;;-2000;-2000
Proto-Italic;itc-pro;;;-2000;-2000
Proto-Germanic;gem-pro;-750;1;;-750
Old Latin;itc-ola;;-76;;-76
Latin;la;;;-75;-75
Late Latin;LL.;200;600;;200
Pali;pi;500;600;;500
Vulgar Latin;VL.;;900;;900
Lombard;lmo;1000;;;1000
Frankish;frk;600;1300;;600
Old French;fro;800;1400;;800
Old English;ang;;1150;;1150
Middle English;enm;1150;1470;;1150
Italian;it;1200;;;1200
Middle French;frm;1400;1800;;1400
French;fr;1700;;;1700
English;en;;;1800;1800
Occitan;oc;;;2000;2000
Medieval Latin;ML.;;;600;600
Pahlavi;pal;300;;;300
Old Persian;peo;;;-500;-500
Persian;fa;800;;;800
Tajik;tg;;;2000;2000
Uzbeck;uz;;;2000;2000
Azeri;az;;;2000;2000
Hindi;hi;;;2000;2000
Urdu;ur;;;2000;2000
Kazakh;kk;;;2000;2000
Ottoman Turkish;ota;1500;1900;;1500
Tatar;tt;;;2000;2000
Ancient Greek;grc;-800;;;-800
Czech;cs;;;2000;2000
Estonian;et;;;2000;2000
German;de;;;2000;2000
Catalan;ca;;;2000;2000
Latvian;lv;;;2000;2000
Norwegian;no;;;2000;2000
Dutch;nl;;;2000;2000
Spanish;es;;;2000;2000
Swedish;sv;;;2000;2000
Polish;pl;;;2000;2000
Portuguese;pt;;;2000;2000
Arabic;ar;400;;;400
Andalusian Arabic;xaa;900;;;900
Old Armenian;xcl;500;;;500
Turkish;tr;;;2000;2000
Albanian;sq;;;2000;2000
Armenian;hy;;;2000;2000
Belarusian;be;;;2000;2000
Bulgarian;bg;;;2000;2000
Crimean Tartar;crh;;;2000;2000
Greek;grc;;;2000;2000
Romanian;ro;;;2000;2000
Russian;ru;;;2000;2000
Bashkir;ba;;;2000;2000
Ukrainian;uk;;;2000;2000
Swahili;sw;;;2000;2000
Yiddish;yi;;;;2000
Hungarian;hu;;;;2000
Macedonian;mk;;;;2000
Thai;th;;;2000;2000
Korean;ko;;;2000;2000
Gujarati;gu;;;2000;2000
Hijazi Arabic;acw;;;2000;2000
Old Azeri;xme-azr;;;1600;1600
Chinese;zh;;;2000;2000
Greek;el;;;2000;2000